id,date,title,description,buyer,price_hint,url,worksheet_url,checklist_url,cover_url,seller_copy_url,starter_bundle_url,tags,monetization_enabled
daily-autodigital-shelf:2026-06-02-one-page-sop,2026-06-02,One-Page SOP Builder,A worksheet for documenting one repeatable task so someone else can follow it.,Small teams and solo operators who need process notes without a full operations manual.,$3 to $9 digital pack,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-02-one-page-sop/,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-02-one-page-sop/printable.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-02-one-page-sop/checklist.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-02-one-page-sop/cover.svg,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-02-one-page-sop/seller-copy.md,https://x26dotapp.github.io/daily-autodigital-shelf/bundles/starter-archive.zip,"printable planner,digital download,worksheet,low maintenance",False
daily-autodigital-shelf:2026-06-01-listing-photo-checklist,2026-06-01,Listing Photo Checklist,"A practical shot list for creating clearer marketplace, rental, or product listing photos.",People preparing simple listings who need better photos without hiring a photographer.,$3 to $9 digital pack,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-01-listing-photo-checklist/,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-01-listing-photo-checklist/printable.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-01-listing-photo-checklist/checklist.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-01-listing-photo-checklist/cover.svg,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-01-listing-photo-checklist/seller-copy.md,https://x26dotapp.github.io/daily-autodigital-shelf/bundles/starter-archive.zip,"printable planner,digital download,worksheet,low maintenance",False
daily-autodigital-shelf:2026-05-31-client-intake-lite,2026-05-31,Client Intake Lite,"A small intake sheet for turning a vague request into scope, timeline, budget, and next action.",Service providers who need a repeatable first-call intake without a heavy CRM.,$3 to $9 digital pack,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-31-client-intake-lite/,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-31-client-intake-lite/printable.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-31-client-intake-lite/checklist.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-31-client-intake-lite/cover.svg,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-31-client-intake-lite/seller-copy.md,https://x26dotapp.github.io/daily-autodigital-shelf/bundles/starter-archive.zip,"printable planner,digital download,worksheet,low maintenance",False
daily-autodigital-shelf:2026-05-30-appointment-prep,2026-05-30,Appointment Prep Card,"A one-page prep card for collecting questions, documents, and follow-up notes before an appointment.",People who forget key questions or documents when appointments get stressful.,$3 to $9 digital pack,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-30-appointment-prep/,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-30-appointment-prep/printable.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-30-appointment-prep/checklist.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-30-appointment-prep/cover.svg,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-30-appointment-prep/seller-copy.md,https://x26dotapp.github.io/daily-autodigital-shelf/bundles/starter-archive.zip,"printable planner,digital download,worksheet,low maintenance",False
daily-autodigital-shelf:2026-05-29-download-folder-reset,2026-05-29,Downloads Folder Reset,A 20-minute digital cleanup worksheet for turning a downloads pile into decisions.,People whose downloads folder has become a source of friction and lost files.,$3 to $9 digital pack,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-29-download-folder-reset/,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-29-download-folder-reset/printable.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-29-download-folder-reset/checklist.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-29-download-folder-reset/cover.svg,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-29-download-folder-reset/seller-copy.md,https://x26dotapp.github.io/daily-autodigital-shelf/bundles/starter-archive.zip,"printable planner,digital download,worksheet,low maintenance",False
daily-autodigital-shelf:2026-05-28-invoice-followup,2026-05-28,Invoice Follow-Up Mini Kit,A calm worksheet for tracking unpaid invoices and writing one clear follow-up.,Freelancers and service providers who need a polite payment follow-up without pressure tricks.,$3 to $9 digital pack,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-28-invoice-followup/,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-28-invoice-followup/printable.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-28-invoice-followup/checklist.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-28-invoice-followup/cover.svg,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-28-invoice-followup/seller-copy.md,https://x26dotapp.github.io/daily-autodigital-shelf/bundles/starter-archive.zip,"printable planner,digital download,worksheet,low maintenance",False
daily-autodigital-shelf:2026-05-27-simple-content-calendar,2026-05-27,Simple Content Calendar,"A low-pressure one-week content planner for small brands, creators, and solo operators.",People who need a content plan that does not become a second full-time job.,$3 to $9 digital pack,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-27-simple-content-calendar/,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-27-simple-content-calendar/printable.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-27-simple-content-calendar/checklist.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-27-simple-content-calendar/cover.svg,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-27-simple-content-calendar/seller-copy.md,https://x26dotapp.github.io/daily-autodigital-shelf/bundles/starter-archive.zip,"printable planner,digital download,worksheet,low maintenance",False
daily-autodigital-shelf:2026-05-26-subscription-audit,2026-05-26,Subscription Audit Sheet,"A quick worksheet for finding recurring charges, renewal dates, and pause candidates.",Households and freelancers who need a clearer view of subscriptions without a finance app.,$3 to $9 digital pack,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-26-subscription-audit/,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-26-subscription-audit/printable.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-26-subscription-audit/checklist.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-26-subscription-audit/cover.svg,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-26-subscription-audit/seller-copy.md,https://x26dotapp.github.io/daily-autodigital-shelf/bundles/starter-archive.zip,"printable planner,digital download,worksheet,low maintenance",False
daily-autodigital-shelf:2026-05-25-offer-followup,2026-05-25,Honest Follow-Up Draft Kit,A non-spam template sheet for following up with one real person or lead.,"Service providers who need a clear follow-up without manipulation, fake urgency, or bulk blasting.",$3 to $9 digital pack,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-25-offer-followup/,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-25-offer-followup/printable.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-25-offer-followup/checklist.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-25-offer-followup/cover.svg,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-25-offer-followup/seller-copy.md,https://x26dotapp.github.io/daily-autodigital-shelf/bundles/starter-archive.zip,"printable planner,digital download,worksheet,low maintenance",False
daily-autodigital-shelf:2026-05-24-digital-declutter,2026-05-24,Digital Declutter Sprint,"A focused cleanup sheet for one folder, inbox, download pile, or project archive.",People whose digital mess blocks useful work but who cannot handle a full cleanup marathon.,$3 to $9 digital pack,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-24-digital-declutter/,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-24-digital-declutter/printable.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-24-digital-declutter/checklist.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-24-digital-declutter/cover.svg,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-24-digital-declutter/seller-copy.md,https://x26dotapp.github.io/daily-autodigital-shelf/bundles/starter-archive.zip,"printable planner,digital download,worksheet,low maintenance",False
